Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Month,Dates
81 F,75 F,84 %,NE,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-01
79 F,75 F,89 %,SW,7 mph,0 mph,29.92 in,0.0 in,Rain,01,2020-01-01
79 F,77 F,94 %,NW,3 mph,0 mph,29.89 in,0.0 in,Drizzle,01,2020-01-01
81 F,77 F,89 %,WNW,3 mph,0 mph,29.89 in,0.0 in,Drizzle,01,2020-01-01
81 F,77 F,89 %,NW,3 mph,0 mph,29.86 in,0.0 in,Light Drizzle,01,2020-01-01
82 F,77 F,84 %,NNE,3 mph,0 mph,29.86 in,0.0 in,Light Drizzle,01,2020-01-01
82 F,77 F,84 %,NW,3 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-01
82 F,77 F,84 %,NE,3 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-01
82 F,75 F,79 %,ENE,6 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-01
82 F,75 F,79 %,ENE,5 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-01
82 F,75 F,79 %,NE,5 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-01
81 F,75 F,84 %,NE,5 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-01
81 F,77 F,89 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-01
82 F,79 F,89 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-01
81 F,77 F,89 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,01,2020-01-01
79 F,77 F,94 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,01,2020-01-01
81 F,77 F,89 %,VAR,2 mph,0 mph,29.95 in,0.0 in,Drizzle,01,2020-01-01
81 F,77 F,89 %,W,5 mph,0 mph,29.95 in,0.0 in,T-Storm,01,2020-01-01
77 F,77 F,100 %,W,6 mph,0 mph,29.97 in,0.0 in,Light Rain with Thunder,01,2020-01-01
77 F,75 F,94 %,SSW,7 mph,0 mph,29.95 in,0.0 in,Light Rain with Thunder,01,2020-01-01
77 F,75 F,94 %,WNW,5 mph,0 mph,29.95 in,0.0 in,Light Drizzle,01,2020-01-01
77 F,75 F,94 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Light Drizzle,01,2020-01-01
79 F,75 F,89 %,SW,7 mph,0 mph,29.92 in,0.0 in,Rain,01,2020-01-01
79 F,77 F,94 %,NE,5 mph,0 mph,29.95 in,0.0 in,Rain,01,2020-01-01
82 F,75 F,79 %,NE,5 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-01
79 F,77 F,94 %,W,5 mph,0 mph,29.95 in,0.0 in,Light Drizzle,01,2020-01-01
77 F,75 F,94 %,ESE,6 mph,0 mph,29.95 in,0.0 in,Rain,01,2020-01-01
81 F,75 F,84 %,E,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-01
81 F,75 F,84 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-01
81 F,75 F,84 %,E,7 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-01
81 F,75 F,84 %,WSW,5 mph,0 mph,29.86 in,0.0 in,Light Drizzle,01,2020-01-01
79 F,75 F,89 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Light Drizzle,01,2020-01-01
79 F,75 F,89 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Light Drizzle,01,2020-01-01
77 F,75 F,94 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Light Drizzle,01,2020-01-01
77 F,75 F,94 %,SSE,6 mph,0 mph,29.86 in,0.0 in,Light Rain with Thunder,01,2020-01-01
75 F,75 F,100 %,WSW,5 mph,0 mph,29.86 in,0.0 in,Light Rain with Thunder,01,2020-01-01
77 F,75 F,94 %,SW,3 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-01
77 F,75 F,94 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Light Drizzle,01,2020-01-01
79 F,77 F,94 %,WNW,5 mph,0 mph,29.95 in,0.0 in,Light Drizzle,01,2020-01-01
75 F,75 F,100 %,SSW,3 mph,0 mph,29.89 in,0.0 in,T-Storm,01,2020-01-01
75 F,73 F,94 %,ESE,8 mph,0 mph,29.89 in,0.0 in,T-Storm,01,2020-01-01
73 F,73 F,100 %,NE,5 mph,0 mph,29.92 in,0.0 in,T-Storm,01,2020-01-01
73 F,73 F,100 %,NW,3 mph,0 mph,29.92 in,0.0 in,T-Storm,01,2020-01-01
73 F,73 F,100 %,NW,3 mph,0 mph,29.95 in,0.0 in,T-Storm,01,2020-01-01
75 F,75 F,100 %,NE,8 mph,0 mph,29.95 in,0.0 in,T-Storm,01,2020-01-01
77 F,75 F,94 %,E,8 mph,0 mph,29.95 in,0.0 in,Drizzle,01,2020-01-01
77 F,75 F,94 %,E,3 mph,0 mph,29.95 in,0.0 in,Light Drizzle,01,2020-01-01
75 F,73 F,94 %,WSW,3 mph,0 mph,29.86 in,0.0 in,Light Drizzle,01,2020-01-01
86 F,75 F,70 %,E,10 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-02
86 F,75 F,70 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-02
86 F,75 F,70 %,E,9 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,75 F,66 %,E,9 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,75 F,66 %,ENE,7 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,73 F,62 %,ESE,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,73 F,62 %,E,8 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,73 F,62 %,E,7 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-02
84 F,77 F,79 %,E,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,73 F,62 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-02
82 F,77 F,84 %,ENE,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,ESE,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
82 F,77 F,84 %,E,7 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,7 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
81 F,77 F,89 %,E,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,77 F,70 %,ESE,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
82 F,77 F,84 %,E,7 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-02
88 F,75 F,66 %,E,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-02
75 F,75 F,100 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-02
86 F,77 F,74 %,ENE,3 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,01,2020-01-02
86 F,75 F,70 %,ESE,7 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,01,2020-01-02
77 F,75 F,94 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Light Drizzle,01,2020-01-02
77 F,75 F,94 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Light Drizzle,01,2020-01-02
77 F,75 F,94 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Light Drizzle,01,2020-01-02
77 F,75 F,94 %,ENE,6 mph,0 mph,29.92 in,0.0 in,Light Drizzle,01,2020-01-02
77 F,75 F,94 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Light Drizzle,01,2020-01-02
77 F,75 F,94 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-02
77 F,75 F,94 %,VAR,2 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-02
75 F,75 F,100 %,WSW,3 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-02
75 F,75 F,100 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-02
77 F,75 F,94 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Light Drizzle,01,2020-01-02
84 F,77 F,79 %,VAR,2 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-02
75 F,75 F,100 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-02
75 F,75 F,100 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Fog,01,2020-01-02
75 F,75 F,100 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Fog,01,2020-01-02
77 F,77 F,100 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fog,01,2020-01-02
79 F,77 F,94 %,CALM,0 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-02
79 F,79 F,100 %,NNW,2 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-02
81 F,79 F,94 %,CALM,0 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-02
81 F,79 F,94 %,NW,3 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-02
