Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Month,Dates
00:30 ,64 F,64 F,100 %,SE,6 mph,0 mph,26.91 in,0.0 in,Fog,01,2020-01-01
01:00 ,64 F,64 F,100 %,E,5 mph,0 mph,26.91 in,0.0 in,Fog,01,2020-01-01
01:30 ,64 F,64 F,100 %,VAR,3 mph,0 mph,26.94 in,0.0 in,Fog,01,2020-01-01
02:00 ,64 F,64 F,100 %,E,3 mph,0 mph,26.94 in,0.0 in,Fog,01,2020-01-01
02:30 ,64 F,64 F,100 %,SE,5 mph,0 mph,26.97 in,0.0 in,Fog,01,2020-01-01
03:00 ,66 F,66 F,100 %,ESE,6 mph,0 mph,26.97 in,0.0 in,Fog,01,2020-01-01
03:30 ,68 F,68 F,100 %,ESE,8 mph,0 mph,26.99 in,0.0 in,Fog,01,2020-01-01
04:00 ,70 F,70 F,100 %,E,13 mph,0 mph,26.99 in,0.0 in,Fog,01,2020-01-01
04:30 ,72 F,68 F,88 %,ESE,13 mph,0 mph,27.02 in,0.0 in,Fog,01,2020-01-01
05:00 ,72 F,68 F,88 %,E,14 mph,0 mph,27.02 in,0.0 in,Fog,01,2020-01-01
05:30 ,73 F,66 F,78 %,ESE,10 mph,0 mph,26.99 in,0.0 in,Partly Cloudy,01,2020-01-01
05:30 ,73 F,68 F,83 %,ESE,12 mph,0 mph,27.02 in,0.0 in,Partly Cloudy,01,2020-01-01
06:00 ,73 F,66 F,78 %,SE,12 mph,0 mph,26.99 in,0.0 in,Mostly Cloudy,01,2020-01-01
06:00 ,75 F,66 F,73 %,ESE,13 mph,0 mph,26.99 in,0.0 in,Partly Cloudy,01,2020-01-01
06:30 ,75 F,64 F,69 %,SSE,9 mph,0 mph,26.99 in,0.0 in,Partly Cloudy,01,2020-01-01
07:00 ,75 F,64 F,69 %,VAR,3 mph,0 mph,26.97 in,0.0 in,Partly Cloudy,01,2020-01-01
07:30 ,75 F,64 F,69 %,SE,8 mph,0 mph,26.94 in,0.0 in,Partly Cloudy,01,2020-01-01
08:00 ,75 F,64 F,69 %,SE,10 mph,0 mph,26.94 in,0.0 in,Partly Cloudy,01,2020-01-01
08:30 ,75 F,64 F,69 %,SSE,9 mph,0 mph,26.91 in,0.0 in,Partly Cloudy,01,2020-01-01
09:00 ,75 F,66 F,73 %,ESE,9 mph,0 mph,26.91 in,0.0 in,Partly Cloudy,01,2020-01-01
