Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Month,Dates
02:00 ,70 F,70 F,100 %,ESE,5 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-01
02:30 ,70 F,68 F,94 %,ESE,6 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-01
03:30 ,72 F,68 F,88 %,SE,7 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-01
04:00 ,72 F,68 F,88 %,ESE,7 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-01
04:30 ,73 F,70 F,88 %,SE,7 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-01
05:00 ,75 F,70 F,83 %,E,8 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-01
05:30 ,81 F,70 F,70 %,SE,8 mph,0 mph,28.22 in,0.0 in,Haze,01,2020-01-01
06:00 ,81 F,70 F,70 %,SSE,7 mph,0 mph,28.22 in,0.0 in,Haze,01,2020-01-01
06:30 ,81 F,70 F,70 %,SE,6 mph,0 mph,28.22 in,0.0 in,Haze,01,2020-01-01
07:00 ,81 F,70 F,70 %,SE,8 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-01
07:30 ,82 F,70 F,66 %,ESE,9 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-01
08:00 ,82 F,70 F,66 %,SSE,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
08:30 ,82 F,70 F,66 %,SE,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
09:00 ,82 F,70 F,66 %,SE,6 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
09:30 ,82 F,70 F,66 %,ESE,3 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
10:00 ,82 F,70 F,66 %,SE,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
10:30 ,81 F,70 F,70 %,SE,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
11:00 ,81 F,70 F,70 %,E,6 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-01
11:30 ,79 F,72 F,78 %,SE,3 mph,0 mph,28.17 in,0.0 in,Light Drizzle,01,2020-01-01
12:00 ,73 F,72 F,94 %,ESE,6 mph,0 mph,28.17 in,0.0 in,Light Drizzle,01,2020-01-01
12:30 ,73 F,72 F,94 %,E,6 mph,0 mph,28.17 in,0.0 in,Partly Cloudy,01,2020-01-01
13:00,73 F,72 F,94 %,NE,2 mph,0 mph,28.20 in,0.0 in,Partly Cloudy,01,2020-01-01
13:30,73 F,72 F,94 %,E,3 mph,0 mph,28.20 in,0.0 in,Partly Cloudy,01,2020-01-01
14:00,73 F,72 F,94 %,E,2 mph,0 mph,28.20 in,0.0 in,Partly Cloudy,01,2020-01-01
15:00,73 F,72 F,94 %,ESE,5 mph,0 mph,28.22 in,0.0 in,Partly Cloudy,01,2020-01-01
02:00 ,70 F,68 F,94 %,ESE,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-02
02:30 ,70 F,68 F,94 %,ESE,6 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-02
03:30 ,72 F,70 F,94 %,ESE,7 mph,0 mph,28.25 in,0.0 in,Haze,01,2020-01-02
04:00 ,73 F,70 F,88 %,SE,7 mph,0 mph,28.28 in,0.0 in,Haze,01,2020-01-02
04:30 ,75 F,70 F,83 %,SE,6 mph,0 mph,28.28 in,0.0 in,Haze,01,2020-01-02
05:00 ,77 F,72 F,83 %,SE,6 mph,0 mph,28.28 in,0.0 in,Haze,01,2020-01-02
05:30 ,79 F,72 F,78 %,SE,7 mph,0 mph,28.25 in,0.0 in,Haze,01,2020-01-02
05:30 ,79 F,72 F,78 %,SSE,9 mph,0 mph,28.28 in,0.0 in,Haze,01,2020-01-02
06:00 ,82 F,72 F,70 %,SSE,7 mph,0 mph,28.25 in,0.0 in,Haze,01,2020-01-02
06:30 ,84 F,72 F,66 %,ESE,6 mph,0 mph,28.22 in,0.0 in,Haze,01,2020-01-02
07:00 ,86 F,73 F,66 %,SE,6 mph,0 mph,28.20 in,0.0 in,Haze,01,2020-01-02
07:30 ,84 F,72 F,66 %,SSE,7 mph,0 mph,28.20 in,0.0 in,Haze,01,2020-01-02
08:00 ,86 F,72 F,62 %,S,5 mph,0 mph,28.20 in,0.0 in,Haze,01,2020-01-02
09:00 ,84 F,72 F,66 %,E,6 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-02
09:30 ,82 F,73 F,74 %,E,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-02
10:00 ,81 F,72 F,74 %,E,8 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-02
10:30 ,79 F,72 F,78 %,ENE,8 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-02
11:00 ,79 F,73 F,83 %,ENE,10 mph,0 mph,28.14 in,0.0 in,Light Drizzle,01,2020-01-02
11:30 ,77 F,73 F,89 %,ENE,8 mph,0 mph,28.14 in,0.0 in,Heavy Rain,01,2020-01-02
12:00 ,70 F,68 F,94 %,E,6 mph,0 mph,28.17 in,0.0 in,Rain,01,2020-01-02
12:30 ,72 F,68 F,88 %,E,6 mph,0 mph,28.20 in,0.0 in,Light Drizzle,01,2020-01-02
13:00,72 F,68 F,88 %,E,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-02
13:30,72 F,68 F,88 %,ESE,3 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-02
14:00,72 F,68 F,88 %,E,3 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-02
14:30,72 F,68 F,88 %,ESE,3 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-02
15:00,72 F,68 F,88 %,E,6 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-02
15:30,73 F,68 F,83 %,E,5 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-02
02:00 ,72 F,70 F,94 %,ESE,5 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-03
02:30 ,72 F,68 F,88 %,SE,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-03
03:00 ,72 F,70 F,94 %,SSE,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-03
03:30 ,72 F,70 F,94 %,SE,5 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-03
04:00 ,72 F,70 F,94 %,VAR,3 mph,0 mph,28.22 in,0.0 in,Light Drizzle,01,2020-01-03
04:30 ,73 F,68 F,83 %,VAR,3 mph,0 mph,28.22 in,0.0 in,Light Drizzle,01,2020-01-03
05:30 ,73 F,68 F,83 %,S,5 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-03
05:30 ,73 F,68 F,83 %,SSE,6 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-03
06:00 ,73 F,68 F,83 %,S,6 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-03
06:00 ,75 F,70 F,83 %,S,5 mph,0 mph,28.17 in,0.0 in,Light Drizzle,01,2020-01-03
08:00 ,82 F,72 F,70 %,SSE,5 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-03
08:30 ,82 F,73 F,74 %,VAR,3 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-03
09:00 ,84 F,73 F,70 %,VAR,2 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-03
09:30 ,84 F,72 F,66 %,S,2 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-03
10:00 ,84 F,72 F,66 %,VAR,3 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-03
10:30 ,84 F,68 F,58 %,SW,5 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-03
11:00 ,82 F,66 F,58 %,SW,6 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-03
